# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: SecuSpark
# Property: SecuSparl-property
# ----------------------------------------
# 
# All Users
# Start date: 20251209
# End date: 20260308
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/pvp/quick-battle,4,2,2,6,4,0,0
/terms,4,4,1,1,16,0,0
/exam/a-plus-389,3,2,1.5,54.5,7,0,0
/exam/network-plus-548,3,3,1,77.33333333333333,3,0,0
/exam/network-plus-557,3,3,1,53.333333333333336,3,0,0
/lander,3,3,1,24.333333333333332,15,0,0
/locations/security-plus/orlando-fl,3,3,1,1.3333333333333333,12,0,0
/locations/security-plus/raleigh-nc,3,3,1,1.3333333333333333,12,0,0
/locations/security-plus/salt-lake-city-ut,3,3,1,0.6666666666666666,11,0,0
/locations/security-plus/san-diego-ca,3,3,1,0.3333333333333333,10,0,0
/locations/security-plus/seattle-wa,3,3,1,2,12,0,0
/privacy,3,3,1,1.6666666666666667,11,0,0
/about,2,1,2,20,2,0,0
/blog/how-long-to-study-for-security-plus,2,2,1,41,6,0,0
/exam/a-plus-386,2,2,1,73.5,4,0,0
/locations/security-plus/austin-tx,2,2,1,0.5,7,0,0
/locations/security-plus/tampa-fl,2,2,1,1.5,8,0,0
/pvp/ghost/sec-1-1,2,2,1,7,2,0,0
/pvp/quick-battle/sec-1-1,2,2,1,3,2,0,0
/security-plus,2,1,2,41,8,0,0
/battle/sec-1-3,1,1,1,13,1,0,0
/blog/march-2026-update-leagues-loot-tinfoil-hat,1,1,1,49,2,0,0
/blog/security-plus-exam-format,1,1,1,0,4,0,0
/blog/security-plus-study-resources,1,1,1,3,5,0,0
/comptia-security-plus-hardest-domains,1,1,1,0,2,0,0
"/exam""",1,1,1,0,5,0,0
/exam/a-plus-390,1,1,1,24,1,0,0
/exam/network-plus-550,1,1,1,23,1,0,0
/exam/network-plus-552,1,1,1,6,4,0,0
/exam/network-plus-555,1,1,1,160,2,0,0
/exam/network-plus-556,1,1,1,11,1,0,0
/exam/network-plus-559,1,1,1,49,1,0,0
/exam/network-plus-560,1,1,1,24,1,0,0
/exam/network-plus-561,1,1,1,26,1,0,0
/exam/network-plus-563,1,1,1,42,1,0,0
/exam/network-plus-564,1,1,1,21,1,0,0
/exam/network-plus-565,1,1,1,23,1,0,0
/exam/network-plus-566,1,1,1,187,2,0,0
/exam/security-plus,1,1,1,7,4,0,0
/locations/security-plus/boston-ma,1,1,1,0,4,0,0
/locations/security-plus/charlotte-nc,1,1,1,0,4,0,0
/locations/security-plus/dallas-tx,1,1,1,1,4,0,0
/locations/security-plus/houston-tx,1,1,1,0,4,0,0
/locations/security-plus/indianapolis-in,1,1,1,0,4,0,0
/locations/security-plus/miami-fl,1,1,1,0,4,0,0
/pvp/arena,1,1,1,9,1,0,0
/pvp/ghost/net-1-1,1,1,1,2,1,0,0
/pvp/ghost/sec-1-2,1,1,1,1,1,0,0
/pvp/ghost/sec-1-3,1,1,1,1,1,0,0
/security-plus-practice-tests,1,1,1,0,4,0,0
